# operator_convention: H_A(k)=H(k+A_x*xhat); Jx=dH/dA_x; Kxx=d2H/dA_x2
# omega Re_sigma_exact Im_sigma_exact Re_sigma_L Im_sigma_L Re_reg_exact Im_reg_exact Re_reg_L Im_reg_L
0.08 -1.5507272799280458 -2.082389609725602 -1.550727279928048 -2.082389609725604 0.08602790912207248 -0.06792168474084113 0.0860279091220771 -0.06792168474083482
0.081 -1.5256121620665797 -2.0780010013576926 -1.5256121620665795 -2.0780010013576917 0.08671158016015042 -0.06879756873669045 0.08671158016015675 -0.06879756873668226
0.082 -1.50091100802148 -2.0734005513808373 -1.5009110080214771 -2.0734005513808333 0.08740974123941186 -0.06967283692863487 0.08740974123942154 -0.0696728369286229
0.083 -1.4766176651263865 -2.0686003670442457 -1.4766176651263798 -2.0686003670442377 0.08812265192035705 -0.07054734681532689 0.08812265192036985 -0.07054734681531104
0.084 -1.4527258689436444 -2.0636120464087058 -1.4527258689436464 -2.0636120464087075 0.08885057673116363 -0.07142094738280033 0.08885057673116765 -0.07142094738279386
0.085 -1.429229261453009 -2.058446693518027 -1.4292292614529967 -2.058446693518011 0.08959378515463354 -0.07229347872341724 0.08959378515465197 -0.07229347872339344
0.086 -1.4061214079208781 -2.053114933474278 -1.406121407920881 -2.053114933474282 0.09035255160562627 -0.07316477163921113 0.09035255160562937 -0.07316477163920722
0.087 -1.3833958125232404 -2.047626927369984 -1.3833958125232424 -2.047626927369986 0.09112715539752518 -0.07403464722988268 0.09112715539752933 -0.07403464722987653
0.088 -1.361045932792221 -2.0419923870347185 -1.3610459327922177 -2.041992387034712 0.09191788069741991 -0.0749029164641281 0.09191788069742907 -0.07490291646411353
0.089 -1.3390651929550572 -2.0362205895605614 -1.3390651929550565 -2.036220589560562 0.09272501646841629 -0.07576937973457425 0.0927250164684228 -0.07576937973456693
0.09 -1.3174469962312543 -2.030320391574829 -1.3174469962312572 -2.0303203915748327 0.09354885639815835 -0.07663382639564296 0.09354885639816073 -0.0766338263956387
0.091 -1.2961847361513776 -2.024300243233154 -1.2961847361513812 -2.024300243233157 0.09438969881244048 -0.07749603428380865 0.0943896988124425 -0.0774960342838042
0.092 -1.2752718069587226 -2.0181682019104112 -1.275271806958721 -2.018168201910409 0.09524784657248643 -0.07835576922008454 0.0952478465724932 -0.07835576922007471
0.093 -1.2547016131523847 -2.0119319455703977 -1.2547016131523892 -2.011931945570403 0.09612360695461457 -0.07921278449422962 0.0961236069546155 -0.07921278449422739
0.094 -1.2344675782279997 -2.0055987857988367 -1.2344675782279946 -2.0055987857988287 0.0970172915107272 -0.08006682033052412 0.09701729151073753 -0.08006682033050841
0.095 -1.2145631526696192 -1.9991756804868186 -1.2145631526696101 -1.999175680486805 0.09792921590830594 -0.08091760333446639 0.0979292159083203 -0.08091760333444512
0.096 -1.1949818212443724 -1.992669246155409 -1.194981821244367 -1.9926692461554012 0.09885969974792819 -0.08176484592062692 0.0988596997479385 -0.08176484592061153
0.097 -1.175717109648554 -1.9860857699137002 -1.175717109648555 -1.986085769913702 0.09980906635683769 -0.08260824572103881 0.09980906635684161 -0.08260824572103313
